epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,421.322,1.00824,1.17258,1.114,0.6287,0.62066,0.6393,0.33709,1.35798,1.30223,1.00009,0.000475676,0.000475676,0.000475676
2,831.239,0.93491,0.77295,1.05017,0.70071,0.69194,0.74094,0.43238,1.33503,1.13472,1.01288,0.000920593,0.000920593,0.000920593
3,1271.62,0.92246,0.72937,1.04111,0.82645,0.70687,0.79275,0.48033,1.19591,0.89834,0.90789,0.00133407,0.00133407,0.00133407
4,1708.29,0.89375,0.68745,1.02768,0.79214,0.73109,0.80762,0.50296,1.20704,0.89832,0.90834,0.00128753,0.00128753,0.00128753
5,2169.3,0.8757,0.66074,1.02059,0.78304,0.72325,0.81663,0.53066,1.15459,0.85254,0.90402,0.00124037,0.00124037,0.00124037
6,2609.73,0.86148,0.63917,1.01301,0.79355,0.7394,0.83326,0.55149,1.16375,0.8243,0.89389,0.00119322,0.00119322,0.00119322
7,3050.25,0.84693,0.62325,1.00477,0.76878,0.77379,0.82913,0.53215,1.13868,0.86207,0.87837,0.00114606,0.00114606,0.00114606
8,3492.24,0.84143,0.61122,1.00385,0.78154,0.77501,0.83674,0.5596,1.0864,0.76036,0.86639,0.0010989,0.0010989,0.0010989
9,3954.78,0.83223,0.6063,0.99951,0.80734,0.7849,0.85877,0.57951,1.08256,0.76369,0.84461,0.00105174,0.00105174,0.00105174
10,4434.17,0.82446,0.59478,0.99791,0.79565,0.80566,0.85086,0.56503,1.17686,0.92735,0.92203,0.00100459,0.00100459,0.00100459
